Temperatura,NivelCO2,Incendio
45.03,947.26,False
48.47,3217.4,True
27.94,531.68,False
26.91,499.09,False
47.68,647.6,True
31.69,838.75,False
9.72,352.19,False
59.4,332.7,True
45.24,712.85,True
48.35,2552.9,True
20.81,128.88,True
45.42,283.65,False
44.02,192.43,False
45.12,759.81,False
86.53,4812.31,True
11.84,580.89,True
43.04,688.5,False
21.81,490.81,False
54.21,40.85,True
60.54,480.81,True
43.5,431.57,False
13.5,35.75,False
8.63,946.9,False
23.55,820.77,True
33.14,146.99,False
76.98,577.42,True
24.12,340.88,True
37.29,184.45,False
25.11,986.34,False
14.89,64.07,False
39.44,453.94,False
46.25,328.06,True
19.31,112.96,False
47.87,2463.59,True
27.52,932.28,False
24.5,873.88,False
28.78,523.97,True
36.32,46.34,False
24.46,161.43,False
22.82,624.56,True
27.96,876.01,False
42.04,754.68,True
68.68,583.79,True
41.08,4652.48,True
16.52,800.38,False
14.9,3904.83,True
73.87,228.06,True
51.5,929.32,True
17.12,269.9,True
25.18,556.86,False
26.18,361.85,False
47.62,4438.44,True
46.9,437.47,False
24.98,791.11,False
17.78,2962.67,True
29.02,956.63,False
15.76,838.76,False
9.49,103.3,False
32.29,502.75,False
39.77,23.65,False
34.02,503.74,False
22.56,3815.15,True
20.84,1470.99,True
68.14,50.27,True
75.57,106.36,True
11.5,3288.5,True
8.79,271.58,False
36.07,1054.34,True
25.25,394.96,False
10.07,1202.62,True
9.24,610.15,False
52.83,998.96,True
68.4,253.21,True
61.43,238.58,True
28.45,713.31,False
27.37,177.13,False
78.24,835.41,True
19.39,978.9,False
14.31,308.75,False
32.73,138.88,False
23.08,466.5,False
19.66,26.96,False
64.22,132.04,True
25.23,525.83,False
15.0,852.47,False
38.82,568.02,False
17.14,604.25,False
15.39,432.59,False
13.84,696.97,False
43.38,482.67,False
18.3,302.94,True
10.8,583.95,False
61.1,814.29,True
21.2,774.39,True
14.44,4135.57,True
24.48,207.39,False
44.73,429.89,True
18.9,422.24,False
27.26,135.95,False
77.62,383.03,True
18.63,236.91,False
27.09,3296.48,True
25.8,537.28,True
83.51,341.29,True
44.9,461.13,False
17.72,3184.13,True
45.25,577.99,True
45.3,442.97,False
32.55,91.13,False
37.64,979.4,False
79.64,1692.74,True
28.64,849.85,False
9.16,4008.54,True
32.05,609.17,False
27.46,734.29,False
46.08,3940.99,True
23.07,601.61,False
10.73,585.94,False
26.94,589.07,False
53.71,712.51,True
34.94,498.36,False
33.21,864.9,False
16.05,2697.01,True
15.65,39.34,False
11.28,288.78,False
26.5,741.57,False
15.32,550.81,False
82.68,527.47,True
60.06,781.53,True
78.72,433.78,True
26.65,275.9,False
9.49,902.46,False
26.89,970.11,False
8.15,3922.9,True
21.71,735.9,False
39.65,426.89,False
47.35,599.91,False
55.42,716.02,True
58.43,745.53,True
12.25,297.38,False
47.28,810.0,False
37.18,433.85,False
11.18,765.29,False
42.0,525.08,False
59.18,127.0,True
24.2,130.18,False
57.14,822.0,True
38.95,151.79,True
69.5,560.24,True
11.34,939.26,True
33.01,432.7,False
47.24,917.75,False
10.6,296.31,False
8.33,905.99,False
8.61,283.88,True
9.44,130.46,False
9.76,472.27,False
10.67,227.85,False
9.9,801.75,True
22.97,1998.02,True
13.66,907.07,False
44.44,730.44,False
25.29,740.66,False
25.37,197.5,False
27.48,966.16,True
25.75,1227.37,True
57.04,640.03,True
18.71,18.49,False
47.73,408.6,False
12.87,726.14,False
18.23,554.93,False
41.77,2496.83,True
24.67,340.66,True
37.24,518.27,False
23.16,92.28,False
25.58,625.89,False
38.77,455.28,False
13.41,434.86,False
16.7,142.46,False
37.7,379.94,False
53.83,15.75,True
26.88,986.71,False
73.08,611.34,True
10.83,758.92,False
11.54,3366.2,True
27.13,534.66,False
80.92,419.52,True
39.13,861.99,False
87.26,401.23,True
31.04,737.18,False
10.39,286.43,False
29.08,4438.6,True
87.47,147.26,True
70.11,4328.93,True
23.41,515.08,False
52.21,2282.52,True
10.1,98.16,False
29.02,151.17,False
36.06,402.52,True
25.37,324.81,False
29.34,958.61,False
14.59,727.9,False
85.02,205.33,True
88.29,440.15,True
31.46,777.6,False
39.02,3676.05,True
25.97,582.58,False
41.69,212.85,False
11.51,3690.85,True
48.05,367.12,False
10.15,233.04,False
44.18,774.92,False
14.32,4106.12,True
14.71,797.46,False
34.72,333.13,False
11.36,2036.21,True
12.04,4960.89,True
31.67,679.05,False
14.92,173.7,False
18.2,190.09,False
28.39,849.32,False
26.75,2575.56,True
17.94,463.69,False
62.13,743.14,True
10.99,646.99,False
31.45,450.17,False
41.38,804.72,False
86.93,159.97,True
13.87,463.88,False
40.81,288.95,False
41.0,808.3,False
25.25,740.09,False
57.28,4881.33,True
18.57,638.13,False
89.94,3805.06,True
12.1,545.37,False
13.59,591.1,False
21.01,425.09,False
44.78,3999.9,True
11.4,612.75,False
19.9,127.76,False
42.8,555.37,False
83.99,110.6,True
48.7,444.75,False
85.41,13.14,True
37.59,699.49,False
9.35,61.45,False
33.42,691.51,False
26.06,488.58,True
8.04,249.48,False
43.36,778.22,False
23.22,165.35,False
25.42,517.96,False
46.97,13.27,True
68.09,168.47,True
19.21,430.84,False
27.94,173.28,False
36.52,27.52,False
18.08,179.14,False
8.85,141.48,False
49.36,4508.96,True
27.84,887.09,False
16.86,912.69,False
9.09,442.54,False
60.21,341.43,True
46.21,137.19,True
18.01,807.39,False
31.53,2899.04,True
33.13,569.52,True
27.04,966.63,False
16.97,340.12,False
14.74,227.45,False
40.31,102.93,False
13.82,414.93,False
19.39,76.47,True
63.01,143.49,True
42.81,100.78,False
17.71,401.61,False
20.13,3202.61,True
47.17,481.59,True
12.13,801.63,False
70.86,504.53,True
11.85,827.13,False
12.11,529.04,True
61.52,594.03,True
13.21,142.88,False
20.2,420.3,False
13.46,582.24,False
17.9,569.69,False
70.77,430.82,True
10.05,62.26,False
40.27,3703.7,True
9.89,551.18,False
45.59,636.14,False
54.01,346.52,True
70.47,757.17,True
43.65,445.93,False
60.13,656.87,True
32.83,293.01,False
71.24,267.47,True
39.93,3286.04,True
45.68,758.9,False
24.52,771.05,False
48.43,267.88,False
11.17,179.55,False
16.2,539.8,True
13.23,229.16,False
41.82,73.2,False
17.45,367.41,False
11.95,310.46,True
71.73,414.26,True
38.27,486.09,False
21.71,92.52,True
9.49,4494.3,True
19.82,446.26,False
15.25,901.37,True
35.76,3584.34,True
29.12,709.56,False
16.03,826.85,False
10.51,112.02,False
37.63,3946.2,True
48.73,5.59,False
60.52,4711.37,True
38.99,4757.73,True
29.4,109.19,False
25.26,633.7,False
21.03,584.47,True
15.25,233.56,False
39.81,35.14,False
8.37,4854.42,True
11.78,511.71,False
49.42,437.73,True
48.72,167.27,False
45.67,309.13,False
10.0,515.31,False
68.78,340.31,True
52.43,284.42,True
37.37,526.33,False
14.8,506.42,False
29.52,559.17,False
64.9,900.6,True
33.2,406.22,False
26.76,494.19,False
12.28,395.27,False
24.0,2148.79,True
47.44,546.74,False
9.69,534.29,False
20.96,498.89,False
16.51,809.62,False
19.36,248.48,False
25.73,687.4,True
25.28,924.23,True
35.09,530.64,False
40.69,592.31,True
22.63,115.32,False
40.03,300.92,False
29.29,4.81,False
31.59,728.96,False
10.82,290.02,True
29.71,504.52,False
58.38,558.77,True
39.06,3736.93,True
43.87,593.83,True
8.79,911.07,False
84.17,306.38,True
10.25,291.41,False
64.57,285.32,True
51.78,3884.91,True
16.51,875.93,False
25.81,253.43,False
32.32,789.43,False
47.69,627.58,True
58.64,369.19,True
44.76,4728.93,True
70.98,979.01,True
38.18,50.7,False
53.5,687.75,True
17.75,673.87,False
68.64,526.74,True
74.23,10.48,True
48.55,740.96,False
9.86,550.34,False
17.69,699.08,False
44.37,249.44,False
13.48,485.84,False
39.17,236.91,False
10.25,202.42,False
23.17,652.68,False
54.66,334.23,True
38.93,111.44,False
48.68,2322.82,True
65.24,1736.75,True
23.74,189.85,False
29.37,519.98,False
28.61,861.86,True
55.77,234.36,True
47.46,3982.81,True
17.42,571.26,False
28.5,3717.25,True
16.96,1456.94,True
38.28,258.24,False
24.33,122.62,False
24.14,590.26,False
34.71,359.58,False
13.38,463.46,False
8.74,58.13,False
15.8,401.43,False
17.58,67.66,False
16.68,177.06,False
27.85,758.41,False
9.99,575.08,False
66.8,362.14,True
20.02,891.5,False
26.1,398.22,False
44.19,365.3,True
22.25,307.06,False
88.32,13.42,True
8.77,429.37,False
22.55,543.86,False
17.64,190.68,False
32.6,423.55,False
31.88,940.64,False
11.92,848.07,False
57.3,481.11,True
9.66,291.98,False
27.99,766.71,False
21.16,458.75,False
18.36,808.68,False
19.6,4887.55,True
19.74,253.63,False
15.43,296.21,False
25.91,213.63,False
20.04,472.04,False
26.86,478.92,True
64.02,441.89,True
53.12,852.09,True
45.98,495.95,False
65.83,426.56,True
41.26,836.56,False
8.39,2682.56,True
21.22,506.4,False
68.7,197.1,True
27.01,811.16,False
19.55,487.73,False
17.54,337.64,True
16.8,615.24,True
8.05,4997.48,True
57.24,326.02,True
40.87,235.6,False
34.51,972.64,False
65.94,455.63,True
38.94,203.08,False
78.65,967.46,True
13.78,795.4,False
85.75,3668.37,True
41.55,611.04,False
33.86,406.09,False
13.02,883.85,False
27.0,792.76,False
43.64,850.9,True
42.68,76.36,True
63.51,217.41,True
46.4,801.46,True
44.11,175.84,False
42.4,956.97,False
15.04,112.48,False
29.29,297.25,False
39.27,4385.12,True
11.61,247.07,False
71.66,87.27,True
30.0,724.81,False
70.87,933.73,True
20.25,576.06,False
72.33,435.35,True
14.59,964.86,False
32.66,458.19,False
31.61,495.96,False
74.78,156.8,True
39.03,3107.77,True
11.8,487.59,False
8.74,581.42,True
8.07,179.32,True
25.65,529.8,True
56.27,95.87,True
45.31,586.81,False
17.06,462.61,False
27.54,694.17,False
82.04,3839.71,True
25.45,844.9,True
9.38,3905.56,True
70.71,519.38,True
41.47,505.93,False
16.05,853.21,False
15.93,197.41,False
20.6,942.17,False
13.1,406.72,True
13.63,394.15,False
27.4,835.84,False
8.54,3169.41,True
18.15,398.54,False
29.34,4703.46,True
17.32,4.88,False
25.81,119.77,False
17.17,847.29,False
39.49,998.22,False
58.57,859.22,True
28.87,474.69,True
37.13,449.14,False
60.33,311.34,True
52.91,3597.52,True
62.39,91.43,True
12.47,441.65,False
45.28,4377.09,True
79.41,501.19,True
63.43,450.61,True
58.23,506.45,True
60.38,201.84,True
46.67,230.9,False
24.03,485.74,False
42.71,489.33,False
54.0,952.6,True
37.73,411.41,False
45.56,434.13,False
16.4,459.21,True
57.13,3509.25,True
44.96,153.96,False
35.9,751.07,False
26.16,458.79,False
88.41,4870.72,True
68.7,4381.72,True
25.36,869.87,False
28.08,411.89,False
19.11,4790.47,True
19.98,165.35,True
8.92,421.99,False
46.72,209.34,False
37.96,1023.27,True
19.82,472.62,False
43.98,547.52,False
64.74,829.68,True
78.9,505.28,True
25.44,9.98,False
72.2,379.38,True
22.29,592.7,False
60.75,587.5,True
69.03,246.55,True
69.67,594.47,True
20.29,191.45,False
14.92,273.7,False
22.18,547.4,False
9.63,769.4,False
31.77,851.62,False
56.37,502.94,True
64.99,4919.76,True
39.38,620.21,False
10.71,405.7,False
23.83,812.27,False
16.64,112.03,False
13.83,2142.09,True
18.93,355.25,False
35.33,588.74,False
46.29,267.94,True
69.03,522.82,True
47.24,489.58,False
25.82,406.29,False
16.6,4698.7,True
20.04,2813.04,True
70.31,490.01,True
24.78,558.97,True
73.19,576.98,True
57.32,208.49,True
69.41,530.52,True
64.88,984.1,True
77.08,490.28,True
42.92,324.22,False
63.32,502.59,True
21.03,146.38,False
47.93,328.17,False
19.66,275.47,False
35.89,425.48,False
27.51,3745.15,True
21.31,549.91,False
28.27,3178.8,True
19.44,511.46,False
21.71,44.7,False
56.42,228.41,True
10.68,84.42,False
11.77,807.94,False
8.35,108.3,False
19.56,372.03,False
42.51,1427.54,True
19.95,558.02,False
24.4,71.4,False
76.61,304.96,True
81.93,976.18,True
22.28,452.16,False
29.72,594.43,False
22.82,777.54,False
23.09,415.9,False
26.42,161.26,False
46.57,495.1,False
35.8,975.1,False
22.64,191.2,False
24.74,428.21,False
45.39,592.71,False
45.48,325.97,False
14.47,755.32,False
36.9,802.22,False
16.62,839.08,False
43.15,461.95,False
57.71,926.27,True
71.95,844.24,True
37.11,513.32,False
46.83,826.81,False
15.16,694.85,False
67.72,470.46,True
22.33,4043.97,True
67.38,1030.08,True
12.64,683.12,False
13.76,302.66,False
33.15,498.05,False
32.63,411.2,False
66.22,161.65,True
25.75,217.4,False
9.52,916.8,False
65.61,526.1,True
83.86,501.96,True
23.74,672.92,False
17.04,625.94,False
61.88,895.95,True
66.64,230.75,True
13.87,604.85,False
17.56,998.2,True
12.68,524.45,False
64.77,383.5,True
28.55,521.31,False
74.65,85.78,True
10.77,3648.65,True
15.16,94.72,False
18.49,434.9,False
28.15,434.42,False
39.15,759.89,True
29.6,2760.42,True
38.63,899.48,False
42.11,676.54,True
31.49,560.77,False
24.55,474.01,False
46.53,4350.7,True
17.92,921.25,False
81.89,458.99,True
39.48,470.13,False
24.93,1499.58,True
51.11,550.42,True
8.88,483.85,False
25.19,562.84,False
41.4,219.08,False
81.72,1216.54,True
36.4,633.26,False
16.86,61.64,False
36.82,379.0,False
84.64,903.94,True
23.97,28.53,False
48.85,872.82,False
64.48,797.98,True
44.05,556.1,False
44.53,22.52,True
23.82,3524.18,True
32.28,228.66,False
26.39,830.7,False
16.88,872.63,False
29.1,255.1,False
9.4,587.77,False
40.82,268.81,False
8.67,2623.4,True
27.24,3414.0,True
17.57,179.89,True
72.87,774.57,True
59.79,157.1,True
15.05,399.38,False
32.04,604.13,True
10.64,327.97,False
32.12,3960.31,True
71.88,6.98,True
25.19,878.32,False
35.76,3117.95,True
71.92,907.53,True
48.54,289.62,True
18.97,382.25,False
28.22,934.66,False
47.06,690.49,False
36.16,13.82,False
41.53,573.32,False
15.11,751.59,False
15.26,961.08,False
11.82,1754.71,True
71.43,86.99,True
25.96,599.65,False
45.53,421.05,False
28.68,226.52,True
48.18,570.57,False
84.34,513.27,True
20.2,640.12,False
45.11,447.51,False
11.57,807.43,False
44.66,790.98,False
14.8,422.5,True
47.51,368.28,False
16.74,474.46,False
24.73,547.18,False
25.86,444.64,False
89.13,179.31,True
48.15,3038.57,True
27.24,350.45,False
37.92,1620.89,True
38.08,188.74,False
25.98,166.32,False
73.11,533.04,True
35.52,834.49,True
26.35,771.76,False
16.33,439.4,True
57.15,944.06,True
55.41,4804.4,True
52.12,380.47,True
26.57,528.21,True
45.48,558.14,False
29.19,25.77,True
73.34,697.05,True
23.55,816.24,False
12.06,63.85,False
24.89,301.63,False
70.08,278.79,True
37.44,797.16,False
68.9,267.14,True
23.71,771.07,False
33.89,740.8,False
27.02,989.95,False
38.91,348.13,True
66.05,617.19,True
12.87,467.79,False
25.25,618.8,False
28.71,2537.32,True
29.44,134.29,False
39.94,2761.64,True
78.05,246.24,True
41.14,475.92,True
48.5,526.45,False
54.04,983.93,True
12.28,278.31,False
41.93,620.23,False
25.62,278.21,False
12.72,999.64,False
76.51,403.8,True
10.89,758.72,False
15.35,509.73,False
14.4,204.67,False
11.41,590.47,False
22.24,251.0,False
51.93,1592.55,True
87.67,549.5,True
43.82,4862.07,True
36.32,4504.55,True
36.58,36.21,False
28.22,3863.91,True
42.66,923.94,False
25.77,3579.83,True
16.25,85.56,False
8.0,471.84,False
13.52,159.25,False
15.84,89.62,False
33.27,951.77,False
9.57,459.86,False
38.34,664.71,False
35.48,533.19,False
20.97,43.89,True
14.29,587.03,True
27.26,178.35,False
54.33,383.51,True
10.3,4333.14,True
73.84,1803.53,True
46.36,273.44,False
13.12,428.06,False
38.91,884.57,False
28.55,464.21,False
13.52,73.19,True
10.19,379.09,False
40.53,734.82,False
57.94,297.56,True
57.27,688.08,True
18.44,252.35,False
44.54,553.0,False
71.7,1801.33,True
59.58,10.32,True
67.9,36.27,True
29.15,688.38,False
55.89,706.3,True
49.48,568.17,False
15.93,163.61,False
81.75,462.68,True
64.88,556.63,True
20.09,352.28,False
11.26,881.25,False
26.73,17.39,True
23.4,567.47,True
27.9,743.34,False
11.09,353.48,False
73.29,295.41,True
14.31,534.66,True
73.66,152.55,True
41.55,414.31,False
23.4,567.19,False
9.04,2223.11,True
41.71,536.76,False
35.07,501.43,False
32.27,465.44,True
31.95,473.85,False
33.05,290.17,False
45.12,4494.12,True
38.05,739.14,False
43.16,65.88,False
13.24,4685.11,True
43.82,698.86,True
25.07,88.85,True
58.78,573.5,True
28.42,127.05,False
14.04,498.44,False
16.69,593.35,True
66.56,968.41,True
26.14,135.33,False
36.98,2199.58,True
22.25,69.49,False
55.45,522.03,True
14.07,428.34,False
29.0,2233.29,True
38.82,160.32,False
15.95,3798.95,True
43.34,781.71,False
66.41,2238.61,True
35.33,296.88,False
76.49,874.95,True
12.31,4698.04,True
23.09,49.07,False
72.74,393.81,True
27.64,65.73,False
22.37,164.6,False
17.07,590.35,False
17.87,15.24,True
35.46,260.16,False
27.79,494.56,False
19.23,424.65,False
48.76,498.05,False
58.65,434.56,True
19.56,149.81,True
9.58,588.27,False
46.13,698.81,True
46.7,3126.09,True
9.52,599.24,False
12.9,144.39,False
59.5,190.54,True
13.79,119.78,True
23.5,900.83,False
43.96,646.2,False
49.4,189.95,True
36.92,98.44,False
34.71,75.55,False
37.41,698.88,False
51.6,451.87,True
37.98,190.5,True
13.42,212.75,False
32.61,2750.52,True
40.2,590.63,True
48.27,550.34,False
82.21,502.75,True
35.46,515.52,False
43.39,880.8,False
23.07,796.54,False
69.76,467.89,True
65.21,558.47,True
23.56,2520.29,True
49.05,100.01,False
18.56,828.79,False
40.24,499.42,True
51.22,51.49,True
46.04,853.91,False
8.01,194.3,True
22.81,414.18,True
23.19,794.23,False
17.41,3432.37,True
41.29,859.28,False
27.43,670.85,False
47.34,594.94,False
18.02,978.15,False
37.73,241.04,False
26.12,462.05,False
42.52,566.29,False
46.05,3524.19,True
12.92,303.17,False
57.35,971.39,True
75.52,699.42,True
47.87,528.08,False
10.4,4670.27,True
13.84,275.12,False
12.46,321.82,False
55.51,452.47,True
33.67,596.19,False
41.18,192.54,False
13.73,830.68,False
34.49,309.12,True
63.2,576.5,True
12.49,835.0,False
28.93,878.95,False
20.32,256.95,True
8.28,763.25,False
9.69,3063.71,True
46.39,1847.85,True
11.68,420.79,False
56.72,234.12,True
32.68,840.22,False
42.69,356.58,False
43.9,787.64,False
22.32,358.59,False
20.85,2871.97,True
12.94,831.83,False
21.24,4426.47,True
32.1,242.1,False
15.8,537.65,False
46.78,4416.95,True
29.55,2632.67,True
37.9,780.15,False
22.27,472.0,False
10.03,518.97,False
36.18,2724.54,True
11.58,899.7,False
43.52,990.59,False
11.56,538.26,False
31.81,1930.09,True
68.3,497.02,True
13.48,589.18,False
17.91,148.7,False
37.17,341.54,False
24.02,4321.2,True
49.99,238.68,False
62.34,569.66,True
19.65,565.99,False
44.03,890.04,False
13.68,474.33,False
13.43,390.26,False
42.3,200.48,False
80.58,30.08,True
34.21,868.24,False
23.39,4471.36,True
18.01,835.79,False
16.07,405.39,False
15.8,274.07,False
28.07,69.58,False
44.98,103.18,False
76.18,590.8,True
46.69,279.62,True
29.6,86.25,True
11.52,207.39,False
25.39,72.62,False
44.37,1275.26,True
39.89,575.8,False
45.61,462.51,False
35.38,43.4,False
11.18,167.61,False
22.92,417.82,False
25.89,480.84,False
9.96,4811.22,True
24.81,497.75,False
55.5,788.22,True
52.67,592.37,True
33.57,86.69,False
24.26,730.18,False
26.76,152.27,False
23.55,3041.19,True
31.6,410.39,False
40.19,2264.09,True
44.2,745.04,False
10.06,272.41,False
32.88,372.83,False
11.44,254.57,False
83.54,950.4,True
27.06,174.14,True
27.39,378.81,False
41.31,4148.02,True
20.99,497.05,False
22.11,93.78,True
12.45,166.51,False
32.98,614.62,False
26.06,3382.31,True
40.68,445.56,False
82.65,213.82,True
79.52,2354.88,True
19.12,3769.83,True
11.77,642.97,False
37.4,3698.44,True
44.9,984.0,True
84.1,344.18,True
26.21,4762.39,True
24.33,186.18,False
42.24,87.02,False
19.02,394.0,False
13.25,548.78,True
18.84,1987.11,True
29.44,435.62,False
29.03,787.47,False
22.57,431.64,False
54.56,205.01,True
11.67,593.71,False
11.97,422.23,False
66.89,355.19,True
29.5,631.24,True
88.59,313.35,True
8.69,671.29,False
84.87,70.19,True
20.97,301.4,False
19.38,2437.03,True
62.51,116.74,True
49.66,195.49,False
43.01,1449.79,True
12.48,444.32,False
33.67,3849.93,True
39.94,143.56,False
71.88,851.69,True
17.29,4280.52,True
37.99,717.07,False
17.9,515.44,True
74.86,105.32,True
9.63,784.69,False
74.54,769.77,True
16.85,569.15,False
73.76,827.29,True
45.05,594.52,False
80.46,610.34,True
11.32,373.52,False
19.66,424.68,True
21.47,373.51,True
89.3,433.61,True
13.39,532.96,False
8.6,175.2,False
14.62,624.55,True
51.58,308.48,True
10.63,574.19,False
24.17,651.24,False
17.62,671.28,False
40.15,353.26,False
34.95,487.77,False
80.76,318.88,True
18.42,669.23,False
11.6,55.77,False
9.95,218.82,False
15.95,1147.34,True
20.96,345.1,False
11.26,512.52,False
44.95,228.57,False
13.51,777.49,False
74.71,563.13,True
45.07,792.09,True
62.09,247.26,True
46.93,269.53,True
58.12,815.88,True
15.31,3791.67,True
9.22,690.97,True
32.51,4205.48,True
31.5,157.17,True
11.68,484.27,False
25.81,250.19,True
44.97,635.27,False
49.06,526.8,False
47.51,520.77,False
80.38,571.66,True
36.48,3231.14,True
46.93,923.13,False
46.02,660.51,False
15.18,2033.11,True
45.27,892.38,True
20.45,2981.86,True
10.28,530.59,False
15.5,128.56,False
14.74,493.93,False
49.16,101.69,False
14.96,726.46,False
23.55,470.65,False
17.83,51.72,False
49.25,50.87,False
33.9,3310.8,True
20.64,472.16,False
23.68,731.06,False
19.57,791.38,True
39.63,674.3,False
44.44,3182.66,True
44.79,551.0,False
11.44,591.11,False
17.32,442.96,False
45.71,215.61,False
46.53,503.66,False
22.37,31.09,True
78.13,552.62,True
28.65,899.12,False
41.55,771.85,False
37.1,506.56,False
31.97,189.7,False
10.43,627.43,False
59.13,592.25,True
88.96,470.45,True
66.43,507.09,True
47.84,606.54,False
43.28,607.54,False
36.71,131.6,False
46.8,313.02,False
73.21,580.5,True
62.8,105.68,True
11.19,1259.37,True
46.58,404.62,False
46.76,211.66,False
33.43,3170.91,True
82.7,420.46,True
15.63,834.34,False
63.45,410.98,True
14.96,589.34,False
28.72,607.11,False
45.94,533.19,False
14.15,1693.57,True
45.56,839.56,False
28.23,682.26,False
33.69,468.48,False
72.63,2356.54,True
14.75,521.58,False
38.92,652.61,False
12.59,563.62,False
25.18,430.0,False
44.84,462.98,False
60.27,291.75,True
33.35,501.7,False
41.8,888.49,False
12.35,456.49,True
75.21,381.23,True
10.88,2949.27,True
33.09,12.81,True
33.61,247.27,False
43.11,371.54,False
17.76,557.3,False
80.01,881.39,True
61.21,97.24,True
29.65,538.02,False
10.09,253.93,False
22.14,984.72,True
34.57,622.51,False
11.38,4839.88,True
15.92,530.69,False
45.67,274.37,False
44.47,545.73,False
39.38,2101.43,True
23.51,3552.55,True
24.43,476.16,False
73.08,504.64,True
47.71,222.34,False
14.04,883.08,True
57.7,442.89,True
24.94,1482.93,True
42.66,301.83,False
23.97,560.59,True
19.72,3126.94,True
44.52,198.47,False
25.2,519.0,False
39.59,219.94,False
10.9,551.47,False
36.49,823.58,False
45.85,119.0,False
40.23,167.04,False
12.13,474.56,False
31.42,434.41,False
19.28,456.7,False
23.37,173.48,False
60.04,572.75,True
73.54,528.47,True
17.34,672.86,True
36.14,2786.3,True
55.05,434.92,True
89.89,170.39,True
26.57,485.9,True
12.31,838.01,False
26.64,591.95,False
40.45,900.04,False
69.81,4318.27,True
26.89,650.1,True
34.37,419.82,True
23.38,65.89,False
24.19,505.89,False
24.33,2210.29,True
49.32,2339.23,True
82.77,142.92,True
31.27,262.2,False
72.77,980.63,True
29.11,802.15,False
37.91,3507.03,True
75.14,571.93,True
58.23,775.68,True
23.15,508.72,False
18.67,53.64,False
70.31,52.13,True
24.6,524.24,False
76.95,221.81,True
27.26,350.37,True
60.81,524.25,True
63.96,459.51,True
48.3,520.97,False
34.55,447.4,False
16.81,425.26,True
41.8,626.31,True
44.26,189.9,False
24.92,584.55,False
8.02,3742.96,True
46.4,496.97,False
28.2,880.1,False
16.55,301.36,False
13.98,455.87,False
8.53,558.07,False
68.35,140.79,True
27.48,1011.16,True
25.37,1874.86,True
37.98,409.0,False
